Key,Dist,District ID,District Name,School ID,School Name,Enrollment,Total School Per Pupil Expenditures,Total Expenditures Per School,Local Percentage,Federal Percentage,State Percentage,Year,,
190 8105,190,190,Metro Nashville Public Schools,8105,KA @ The Crossings,190,*,*,,,,2020,,
985 8105,985,985,Achievement School District,8105,Wooddale Middle School,495,*,*,,,,2020,,
190 8100,190,190,Metro Nashville Public Schools,8100,RePublic High School,637,*,*,,,,2020,,
190 8095,190,190,Metro Nashville Public Schools,8095,KIPP Academy Nashville Elementary School,407,*,*,,,,2020,,
985 8095,985,985,Achievement School District,8095,Libertas School,451,*,*,,,,2020,,
190 8090,190,190,Metro Nashville Public Schools,8090,Strive Collegiate Academy,378,*,*,,,,2020,,
985 8090,985,985,Achievement School District,8090,Neely's Bend: A LEAD Public School,515,*,*,,,,2020,,
190 8085,190,190,Metro Nashville Public Schools,8085,KIPP Nashville College Prep Elementary,339,*,*,,,,2020,,
190 8080,190,190,Metro Nashville Public Schools,8080,Valor Voyager Academy,502,*,*,,,,2020,,
190 8075,190,190,Metro Nashville Public Schools,8075,STEM Prep High School,488,*,*,,,,2020,,
985 8075,985,985,Achievement School District,8075,Freedom Preparatory Academy Charter Elementary School,588,*,*,,,,2020,,
190 8070,190,190,Metro Nashville Public Schools,8070,Rocketship United,552,*,*,,,,2020,,
985 8070,985,985,Achievement School District,8070,Lester Prep,296,*,*,,,,2020,,
190 8065,190,190,Metro Nashville Public Schools,8065,Knowledge Academies High School,165,*,*,,,,2020,,
985 8065,985,985,Achievement School District,8065,Martin Luther King Preparatory High School,570,*,*,,,,2020,,
190 8060,190,190,Metro Nashville Public Schools,8060,Explore Community School,434,*,*,,,,2020,,
985 8060,985,985,Achievement School District,8060,Promise Academy - Spring Hill,417,*,*,,,,2020,,
190 8055,190,190,Metro Nashville Public Schools,8055,Nashville Academy of Computer Science,223,*,*,,,,2020,,
985 8055,985,985,Achievement School District,8055,Fairley High School,426,*,*,,,,2020,,
190 8050,190,190,Metro Nashville Public Schools,8050,Rocketship Nashville Northeast Elementary,498,*,*,,,,2020,,
985 8050,985,985,Achievement School District,8050,Aspire Coleman,631,*,*,,,,2020,,
