district_name,school_name,zipcode,longitude,latitude,pct_chronically_absent_2020,percent_ca2019,percent_ca_2018,admin,teacher,percent_retained,pool,score_achievement,score_growth,score_absenteeism,students_total_2020,enrollment_2019,enrollment_2018
Shelby County Schools,Southwest Early College High School,38103,-90.0534,35.146131,31.5,11.6,2.1,1,15,66.7,K8,2,0,1.8,244,178,99
Washington County Schools,South Central Elementary,37641,-82.6744,36.21503,10.8,12.1,9.5,1,20,66.7,K8,1.8,0.4,2.2,226,211,227
Tennessee State Board of Education,Bluff City High School,38109,-90.07523,35.050286,34.7,29.9,23.3,2,13,66.7,K8,1.7,3.6,0,457,305,156
Maury County Schools,E. A. Cox Middle School,38401,-87.03565,35.619784,23.3,22.9,18.2,3,52,67.2,K8,1.1,0.6,0.5,821,755,761
Metro Nashville Public Schools,Hunters Lane High,37207,-86.77317,36.215535,31.2,32,35.4,6,81,67.3,HS,1,0.4,3.1,1696,1325,1413
Sumner County Schools,Portland Gateview Elementary School,37148,-86.51355,36.576137,11.3,7.3,6.4,2,42,67.3,K8,2.7,1,3,606,541,562
Metro Nashville Public Schools,DuPont Tyler Middle,37076,-86.60111,36.180507,14.8,15.9,19.7,3,38,67.4,K8,0.9,0.4,4,742,591,601
Jackson-Madison County Schools,Isaac Lane Technology Magnet Elementary,38301,-88.81959,35.60758,19.4,22.5,25.7,2,37,67.4,K8,2,2.7,3.7,565,484,496
Murfreesboro City Schools,Bradley Academy - An Arts Integrated School,37130,-86.3648,35.860152,10.2,8.4,10.1,2,36,67.5,K8,1.9,4,4,455,380,409
Metro Nashville Public Schools,Two Rivers Middle,37214,-86.66869,36.166956,18.1,18,15.9,2,26,67.6,K8,1.1,0.8,2.2,552,425,414
Collierville Municipal School District,Sycamore Elementary School,38017,-89.67417,35.057224,5.5,3,3.9,3,44,67.6,K8,3.9,2.6,4,512,514,880
Metro Nashville Public Schools,Glenview Elementary,37217,-86.66616,36.103408,13,12.4,10.2,3,50,67.7,K8,2.1,2.9,2.1,728,566,602
Metro Nashville Public Schools,East Nashville Middle,37206,-86.74176,36.180806,6.7,15.4,7.9,2,24,67.7,K8,1,0.1,0.7,380,362,434
Clarksville-Montgomery County School System,Hazelwood Elementary,37042,-87.4056,36.58068,6,4.5,6.1,3,60,67.7,K8,3.9,0.5,4,1083,933,920
Jackson-Madison County Schools,Liberty Technology Magnet High School,38305,-88.80653,35.693101,43.3,56.4,48.8,6,67,67.8,HS,1,0.1,0.3,984,1003,1026
Shelby County Schools,Hamilton High,38106,-90.04017,35.103019,37.8,56.1,54.1,3,53,67.8,HS,0,0,1.7,856,656,622
Metro Nashville Public Schools,Hillwood High,37205,-86.86207,36.113558,24,24.7,26.8,7,67,67.9,HS,1.1,0.4,3.4,1311,1109,1103
Knox County Schools,Northwest Middle School,37912,-83.97962,36.008048,22.5,24,27.4,7,68,67.9,K8,0.3,0,4,1016,881,914
Hamilton County Schools,Clifton Hills Elementary,37407,-85.28673,35.000825,10.2,10.6,8.5,2,48,68,K8,3,3.8,2.4,697,596,605
Jackson-Madison County Schools,North Parkway Middle School,38305,-88.80653,35.693101,23,28.8,34.4,3,46,68,K8,0.9,0.5,4,839,745,748
Shelby County Schools,Holmes Road Elementary,38116,-90.01128,35.03319,20.4,14,15.5,3,45,68,K8,3.8,3.7,3.1,735,588,645
Union County Schools,Tennessee Virtual Academy,37807,-83.82558,36.251265,9.8,7.8,13.4,2,64,68.1,K8,0.4,0,3.9,1608,1348,1217
Sevier County School System,Seymour High School,37865,-83.74476,35.853932,17.4,16.5,18,4,54,68.2,HS,2.6,3.6,3.1,762,775,1086
